code,location,file,cdg_nodes,neighbor_nodes,context_lists,ddg_lists,static_lists,cluster_index
"fprintf ( stderr , ""assertion failed: %s:%d: \""%s\""\n"" , file , line , expr )",13:4:361:431,/data/download/squid/squid-3.5.25/compat/assert.cc,[],"[["""", [4973, ""True"", ""int line"", ""Parameter""]], ["""", [4976, ""True"", ""const char * file"", ""Parameter""]], ["""", [4979, ""True"", ""const char * expr"", ""Parameter""]], ["""", [5004, ""True"", ""ENTRY"", ""CFGEntryNode""]]]","[[[""int""]], [[""const char *""]], [[""const char *""]], [[""ENTRY""]]]","[[[""const char *""], ""const char *""], [[""int""], ""int""], [[""const char *""], ""const char *""]]","[""\""assertion failed: %s:%d: \\\""%s\\\""\\n\""""]"
"fprintf ( stderr , ""\t-P\t\t\tpersistent LDAP connection\n"" )",542:8:16830:16887,/data/download/squid/squid-3.5.25/helpers/basic_auth/LDAP/basic_ldap_auth.cc,"[[""True"", [18097, ""True"", ""! basedn"", ""Condition""]]]","[["""", [17998, ""True"", ""fprintf ( stderr , \""\\t-p port\\t\\t\\tLDAP server port\\n\"" )"", ""ExpressionStatement""]], ["""", [18007, ""True"", ""fprintf ( stderr , \""\\t-h server\\t\\tLDAP server (defaults to localhost)\\n\"" )"", ""ExpressionStatement""]], ["""", [18016, ""True"", ""fprintf ( stderr , \""\\t-H URI\\t\\t\\tLDAPURI (defaults to ldap://localhost)\\n\"" )"", ""ExpressionStatement""]], ["""", [18025, ""True"", ""fprintf ( stderr , \""\\t-W secretfile\\t\\tread password for binddn from file secretfile\\n\"" )"", ""ExpressionStatement""]]]","[[[""!"", ""basedn""]], [[""fprintf"", ""stderr"", ""\""\\t-p port\\t\\t\\tLDAP server port\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-h server\\t\\tLDAP server (defaults to localhost)\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-H URI\\t\\t\\tLDAPURI (defaults to ldap://localhost)\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-W secretfile\\t\\tread password for binddn from file secretfile\\n\""""]]]",[],"[""\""\\t-P\\t\\t\\tpersistent LDAP connection\\n\""""]"
"fprintf ( stderr , ""\t-p port\t\t\tLDAP server port\n"" )",541:8:16768:16820,/data/download/squid/squid-3.5.25/helpers/basic_auth/LDAP/basic_ldap_auth.cc,"[[""True"", [18097, ""True"", ""! basedn"", ""Condition""]]]","[["""", [18007, ""True"", ""fprintf ( stderr , \""\\t-h server\\t\\tLDAP server (defaults to localhost)\\n\"" )"", ""ExpressionStatement""]], ["""", [18016, ""True"", ""fprintf ( stderr , \""\\t-H URI\\t\\t\\tLDAPURI (defaults to ldap://localhost)\\n\"" )"", ""ExpressionStatement""]], ["""", [18025, ""True"", ""fprintf ( stderr , \""\\t-W secretfile\\t\\tread password for binddn from file secretfile\\n\"" )"", ""ExpressionStatement""]], ["""", [18034, ""True"", ""fprintf ( stderr , \""\\t-w bindpasswd\\t\\tpassword for binddn\\n\"" )"", ""ExpressionStatement""]]]","[[[""!"", ""basedn""]], [[""fprintf"", ""stderr"", ""\""\\t-h server\\t\\tLDAP server (defaults to localhost)\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-H URI\\t\\t\\tLDAPURI (defaults to ldap://localhost)\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-W secretfile\\t\\tread password for binddn from file secretfile\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-w bindpasswd\\t\\tpassword for binddn\\n\""""]]]",[],"[""\""\\t-p port\\t\\t\\tLDAP server port\\n\""""]"
"fprintf ( stderr , ""\t-h server\t\tLDAP server (defaults to localhost)\n"" )",540:8:16687:16758,/data/download/squid/squid-3.5.25/helpers/basic_auth/LDAP/basic_ldap_auth.cc,"[[""True"", [18097, ""True"", ""! basedn"", ""Condition""]]]","[["""", [18016, ""True"", ""fprintf ( stderr , \""\\t-H URI\\t\\t\\tLDAPURI (defaults to ldap://localhost)\\n\"" )"", ""ExpressionStatement""]], ["""", [18025, ""True"", ""fprintf ( stderr , \""\\t-W secretfile\\t\\tread password for binddn from file secretfile\\n\"" )"", ""ExpressionStatement""]], ["""", [18034, ""True"", ""fprintf ( stderr , \""\\t-w bindpasswd\\t\\tpassword for binddn\\n\"" )"", ""ExpressionStatement""]], ["""", [18043, ""True"", ""fprintf ( stderr , \""\\t-D binddn\\t\\tDN to bind as to perform searches\\n\"" )"", ""ExpressionStatement""]]]","[[[""!"", ""basedn""]], [[""fprintf"", ""stderr"", ""\""\\t-H URI\\t\\t\\tLDAPURI (defaults to ldap://localhost)\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-W secretfile\\t\\tread password for binddn from file secretfile\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-w bindpasswd\\t\\tpassword for binddn\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-D binddn\\t\\tDN to bind as to perform searches\\n\""""]]]",[],"[""\""\\t-h server\\t\\tLDAP server (defaults to localhost)\\n\""""]"
"fprintf ( stderr , ""\t-H URI\t\t\tLDAPURI (defaults to ldap://localhost)\n"" )",538:8:16597:16670,/data/download/squid/squid-3.5.25/helpers/basic_auth/LDAP/basic_ldap_auth.cc,"[[""True"", [18097, ""True"", ""! basedn"", ""Condition""]]]","[["""", [18025, ""True"", ""fprintf ( stderr , \""\\t-W secretfile\\t\\tread password for binddn from file secretfile\\n\"" )"", ""ExpressionStatement""]], ["""", [18034, ""True"", ""fprintf ( stderr , \""\\t-w bindpasswd\\t\\tpassword for binddn\\n\"" )"", ""ExpressionStatement""]], ["""", [18043, ""True"", ""fprintf ( stderr , \""\\t-D binddn\\t\\tDN to bind as to perform searches\\n\"" )"", ""ExpressionStatement""]], ["""", [18052, ""True"", ""fprintf ( stderr , \""\\t-s base|one|sub\\t\\tsearch scope\\n\"" )"", ""ExpressionStatement""]]]","[[[""!"", ""basedn""]], [[""fprintf"", ""stderr"", ""\""\\t-W secretfile\\t\\tread password for binddn from file secretfile\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-w bindpasswd\\t\\tpassword for binddn\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-D binddn\\t\\tDN to bind as to perform searches\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-s base|one|sub\\t\\tsearch scope\\n\""""]]]",[],"[""\""\\t-H URI\\t\\t\\tLDAPURI (defaults to ldap://localhost)\\n\""""]"
"fprintf ( stderr , ""\t-W secretfile\t\tread password for binddn from file secretfile\n"" )",536:8:16482:16567,/data/download/squid/squid-3.5.25/helpers/basic_auth/LDAP/basic_ldap_auth.cc,"[[""True"", [18097, ""True"", ""! basedn"", ""Condition""]]]","[["""", [18034, ""True"", ""fprintf ( stderr , \""\\t-w bindpasswd\\t\\tpassword for binddn\\n\"" )"", ""ExpressionStatement""]], ["""", [18043, ""True"", ""fprintf ( stderr , \""\\t-D binddn\\t\\tDN to bind as to perform searches\\n\"" )"", ""ExpressionStatement""]], ["""", [18052, ""True"", ""fprintf ( stderr , \""\\t-s base|one|sub\\t\\tsearch scope\\n\"" )"", ""ExpressionStatement""]], ["""", [18061, ""True"", ""fprintf ( stderr , \""\\t-u userattr\\t\\tusername DN attribute\\n\"" )"", ""ExpressionStatement""]]]","[[[""!"", ""basedn""]], [[""fprintf"", ""stderr"", ""\""\\t-w bindpasswd\\t\\tpassword for binddn\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-D binddn\\t\\tDN to bind as to perform searches\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-s base|one|sub\\t\\tsearch scope\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-u userattr\\t\\tusername DN attribute\\n\""""]]]",[],"[""\""\\t-W secretfile\\t\\tread password for binddn from file secretfile\\n\""""]"
"fprintf ( stderr , ""\t-w bindpasswd\t\tpassword for binddn\n"" )",535:8:16413:16472,/data/download/squid/squid-3.5.25/helpers/basic_auth/LDAP/basic_ldap_auth.cc,"[[""True"", [18097, ""True"", ""! basedn"", ""Condition""]]]","[["""", [18043, ""True"", ""fprintf ( stderr , \""\\t-D binddn\\t\\tDN to bind as to perform searches\\n\"" )"", ""ExpressionStatement""]], ["""", [18052, ""True"", ""fprintf ( stderr , \""\\t-s base|one|sub\\t\\tsearch scope\\n\"" )"", ""ExpressionStatement""]], ["""", [18061, ""True"", ""fprintf ( stderr , \""\\t-u userattr\\t\\tusername DN attribute\\n\"" )"", ""ExpressionStatement""]], ["""", [18070, ""True"", ""fprintf ( stderr , \""\\t-f filter\\t\\tsearch filter to locate user DN\\n\"" )"", ""ExpressionStatement""]]]","[[[""!"", ""basedn""]], [[""fprintf"", ""stderr"", ""\""\\t-D binddn\\t\\tDN to bind as to perform searches\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-s base|one|sub\\t\\tsearch scope\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-u userattr\\t\\tusername DN attribute\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-f filter\\t\\tsearch filter to locate user DN\\n\""""]]]",[],"[""\""\\t-w bindpasswd\\t\\tpassword for binddn\\n\""""]"
"fprintf ( stderr , ""\t-D binddn\t\tDN to bind as to perform searches\n"" )",534:8:16334:16403,/data/download/squid/squid-3.5.25/helpers/basic_auth/LDAP/basic_ldap_auth.cc,"[[""True"", [18097, ""True"", ""! basedn"", ""Condition""]]]","[["""", [18052, ""True"", ""fprintf ( stderr , \""\\t-s base|one|sub\\t\\tsearch scope\\n\"" )"", ""ExpressionStatement""]], ["""", [18061, ""True"", ""fprintf ( stderr , \""\\t-u userattr\\t\\tusername DN attribute\\n\"" )"", ""ExpressionStatement""]], ["""", [18070, ""True"", ""fprintf ( stderr , \""\\t-f filter\\t\\tsearch filter to locate user DN\\n\"" )"", ""ExpressionStatement""]], ["""", [18079, ""True"", ""fprintf ( stderr , \""\\t-b basedn (REQUIRED)\\tbase dn under which to search\\n\"" )"", ""ExpressionStatement""]]]","[[[""!"", ""basedn""]], [[""fprintf"", ""stderr"", ""\""\\t-s base|one|sub\\t\\tsearch scope\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-u userattr\\t\\tusername DN attribute\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-f filter\\t\\tsearch filter to locate user DN\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-b basedn (REQUIRED)\\tbase dn under which to search\\n\""""]]]",[],"[""\""\\t-D binddn\\t\\tDN to bind as to perform searches\\n\""""]"
"fprintf ( stderr , ""\t-s base|one|sub\t\tsearch scope\n"" )",533:8:16270:16324,/data/download/squid/squid-3.5.25/helpers/basic_auth/LDAP/basic_ldap_auth.cc,"[[""True"", [18097, ""True"", ""! basedn"", ""Condition""]]]","[["""", [18061, ""True"", ""fprintf ( stderr , \""\\t-u userattr\\t\\tusername DN attribute\\n\"" )"", ""ExpressionStatement""]], ["""", [18070, ""True"", ""fprintf ( stderr , \""\\t-f filter\\t\\tsearch filter to locate user DN\\n\"" )"", ""ExpressionStatement""]], ["""", [18079, ""True"", ""fprintf ( stderr , \""\\t-b basedn (REQUIRED)\\tbase dn under which to search\\n\"" )"", ""ExpressionStatement""]], ["""", [18088, ""True"", """", ""ExpressionStatement""]]]","[[[""!"", ""basedn""]], [[""fprintf"", ""stderr"", ""\""\\t-u userattr\\t\\tusername DN attribute\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-f filter\\t\\tsearch filter to locate user DN\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-b basedn (REQUIRED)\\tbase dn under which to search\\n\""""]], [[]]]",[],"[""\""\\t-s base|one|sub\\t\\tsearch scope\\n\""""]"
"fprintf ( stderr , ""\t-u userattr\t\tusername DN attribute\n"" )",532:8:16201:16260,/data/download/squid/squid-3.5.25/helpers/basic_auth/LDAP/basic_ldap_auth.cc,"[[""True"", [18097, ""True"", ""! basedn"", ""Condition""]]]","[["""", [18070, ""True"", ""fprintf ( stderr , \""\\t-f filter\\t\\tsearch filter to locate user DN\\n\"" )"", ""ExpressionStatement""]], ["""", [18079, ""True"", ""fprintf ( stderr , \""\\t-b basedn (REQUIRED)\\tbase dn under which to search\\n\"" )"", ""ExpressionStatement""]], ["""", [18088, ""True"", """", ""ExpressionStatement""]], ["""", [18089, ""True"", "")"", ""Statement""]]]","[[[""!"", ""basedn""]], [[""fprintf"", ""stderr"", ""\""\\t-f filter\\t\\tsearch filter to locate user DN\\n\""""]], [[""fprintf"", ""stderr"", ""\""\\t-b basedn (REQUIRED)\\tbase dn under which to search\\n\""""]], [[]], [[]]]",[],"[""\""\\t-u userattr\\t\\tusername DN attribute\\n\""""]"
"fprintf ( stderr , ""\t-f filter\t\tsearch filter to locate user DN\n"" )",531:8:16124:16191,/data/download/squid/squid-3.5.25/helpers/basic_auth/LDAP/basic_ldap_auth.cc,"[[""True"", [18097, ""True"", ""! basedn"", ""Condition""]]]","[["""", [18079, ""True"", ""fprintf ( stderr , \""\\t-b basedn (REQUIRED)\\tbase dn under which to search\\n\"" )"", ""ExpressionStatement""]], ["""", [18088, ""True"", """", ""ExpressionStatement""]], ["""", [18089, ""True"", "")"", ""Statement""]], ["""", [18090, ""True"", ""\"" -b basedn [options] [ldap_server_name[:port]]...\\n\\n\"""", ""Statement""]]]","[[[""!"", ""basedn""]], [[""fprintf"", ""stderr"", ""\""\\t-b basedn (REQUIRED)\\tbase dn under which to search\\n\""""]], [[]], [[]], [[]]]",[],"[""\""\\t-f filter\\t\\tsearch filter to locate user DN\\n\""""]"
"fprintf ( stderr , ""\t-b basedn (REQUIRED)\tbase dn under which to search\n"" )",530:8:16040:16114,/data/download/squid/squid-3.5.25/helpers/basic_auth/LDAP/basic_ldap_auth.cc,"[[""True"", [18097, ""True"", ""! basedn"", ""Condition""]]]","[["""", [18088, ""True"", """", ""ExpressionStatement""]], ["""", [18089, ""True"", "")"", ""Statement""]], ["""", [18090, ""True"", ""\"" -b basedn [options] [ldap_server_name[:port]]...\\n\\n\"""", ""Statement""]], ["""", [18091, ""True"", ""PROGRAM_NAME"", ""Statement""]]]","[[[""!"", ""basedn""]], [[]], [[]], [[]], [[]]]",[],"[""\""\\t-b basedn (REQUIRED)\\tbase dn under which to search\\n\""""]"
"fprintf ( stderr , ""TLS (-Z) is incompatible with version %d\n"" , version )",494:16:14958:15052,/data/download/squid/squid-3.5.25/helpers/basic_auth/LDAP/basic_ldap_auth.cc,"[[""True"", [18276, ""True"", ""version == LDAP_VERSION2"", ""Condition""]], [""case 'Z'"", [18697, ""True"", ""option"", ""Condition""]], [""case 'P'"", [18786, ""True"", ""argc > 1 && argv [ 1 ] [ 0 ] == '-'"", ""Condition""]]]","[["""", [18280, ""True"", ""case 'Z' :"", ""Label""]], ["""", [18699, ""True"", ""-- argc"", ""ExpressionStatement""]]]","[[[""version"", ""LDAP_VERSION2"", ""==""]], [[""char"", ""'Z'"", ""==""]], [[""int"", ""1"", "">"", ""'P'"", ""==""]], [[""char * *"", ""1"", ""0"", ""'-'"", ""==""]], [[]], [[""argc""]]]","[[[""version"", ""LDAP_VERSION3"", ""=""], ""version""], [[""version"", ""LDAP_VERSION2"", ""=""], ""version""], [[""version"", ""LDAP_VERSION3"", ""=""], ""version""]]","[""\""TLS (-Z) is incompatible with version %d\\n\""""]"
"fprintf ( stderr , ""Protocol version should be 2 or 3\n"" )",488:16:14766:14820,/data/download/squid/squid-3.5.25/helpers/basic_auth/LDAP/basic_ldap_auth.cc,"[[""default"", [18314, ""True"", ""atoi ( value )"", ""Condition""]], [""case 'v'"", [18697, ""True"", ""option"", ""Condition""]], [""case 'P'"", [18786, ""True"", ""argc > 1 && argv [ 1 ] [ 0 ] == '-'"", ""Condition""]]]","[["""", [18300, ""True"", ""default :"", ""Label""]], ["""", [18321, ""True"", ""case 'v' :"", ""Label""]]]","[[[""atoi"", ""const char *""]], [[""char"", ""'v'"", ""==""]], [[""int"", ""1"", "">"", ""'P'"", ""==""]], [[""char * *"", ""1"", ""0"", ""'-'"", ""==""]], [[""default""]], [[]]]",[],"[""\""Protocol version should be 2 or 3\\n\""""]"
"fprintf ( stderr , ""ERROR: Your LDAP library does not have URI support\n"" )",388:12:11655:11726,/data/download/squid/squid-3.5.25/helpers/basic_auth/LDAP/basic_ldap_auth.cc,"[[""case 'H'"", [18697, ""True"", ""option"", ""Condition""]], [""case 'P'"", [18786, ""True"", ""argc > 1 && argv [ 1 ] [ 0 ] == '-'"", ""Condition""]]]","[["""", [18696, ""True"", ""case 'H' :"", ""Label""]], ["""", [18699, ""True"", ""-- argc"", ""ExpressionStatement""]], ["""", [18703, ""True"", ""++ argv"", ""ExpressionStatement""]]]","[[[""char"", ""'H'"", ""==""]], [[""int"", ""1"", "">"", ""'P'"", ""==""]], [[""char * *"", ""1"", ""0"", ""'-'"", ""==""]], [[]], [[""argc""]], [[""argv""]]]",[],"[""\""ERROR: Your LDAP library does not have URI support\\n\""""]"
"fprintf ( stderr , ""ERROR: Missing user name at %s line %d\n"" , passwdfile , lineCount )",97:12:2553:2635,/data/download/squid/squid-3.5.25/helpers/basic_auth/NCSA/basic_ncsa_auth.cc,"[[""True"", [20087, ""True"", ""user == NULL"", ""Condition""]], [""False"", [20104, ""True"", ""( buf [ 0 ] == '#' ) || ( buf [ 0 ] == ' ' ) || ( buf [ 0 ] == '\\t' ) || ( buf [ 0 ] == '\\n' )"", ""Condition""]], [""True"", [20132, ""True"", ""fgets ( buf , sizeof ( buf ) - 1 , f ) != NULL"", ""Condition""]]]","[["""", [20091, ""True"", ""user = strtok ( buf , \"":\\n\\r\"" )"", ""ExpressionStatement""]], ["""", [20128, ""True"", ""++ lineCount"", ""ExpressionStatement""]]]","[[[""char *"", ""NULL"", ""==""]], [[""char [ HELPER_INPUT_BUFFER ]"", ""0"", ""'#'"", ""=="", ""char [ HELPER_INPUT_BUFFER ]"", ""0"", ""' '"", ""=="", ""char [ HELPER_INPUT_BUFFER ]"", ""0"", ""'\\t'"", ""=="", ""char [ HELPER_INPUT_BUFFER ]"", ""0"", ""'\\n'"", ""=="", ""||"", ""||"", ""||""]], [[""fgets"", ""char [ HELPER_INPUT_BUFFER ]"", ""1"", ""-"", ""FILE *"", ""NULL"", ""!=""]], [[""char *"", ""strtok"", ""char [ HELPER_INPUT_BUFFER ]"", ""\"":\\n\\r\"""", ""=""]], [[""lineCount""]]]","[[[""unsigned int"", ""unsigned int"", ""0"", ""=""], ""unsigned int""], [[""const char *""], ""const char *""]]","[""\""ERROR: Missing user name at %s line %d\\n\""""]"
"fprintf ( stderr , ""FATAL: %s: %s\n"" , passwdfile , xstrerror ( ) )",85:8:2123:2182,/data/download/squid/squid-3.5.25/helpers/basic_auth/NCSA/basic_ncsa_auth.cc,"[[""True"", [20189, ""True"", ""NULL == f"", ""Condition""]]]","[["""", [20193, ""True"", ""f = fopen ( passwdfile , \""r\"" )"", ""ExpressionStatement""]], ["""", [20206, ""True"", ""exit ( 1 )"", ""ExpressionStatement""]], ["""", [20213, ""True"", ""fprintf ( stderr , \""FATAL: Cannot create hash table\\n\"" )"", ""ExpressionStatement""]], ["""", [20226, ""True"", ""hash = hash_create ( ( HASHCMP * ) strcmp , 7921 , hash_string )"", ""ExpressionStatement""]]]","[[[""NULL"", ""FILE *"", ""==""]], [[""FILE *"", ""fopen"", ""const char *"", ""\""r\"""", ""=""]], [[""exit"", ""1""]], [[""fprintf"", ""stderr"", ""\""FATAL: Cannot create hash table\\n\""""]], [[""hash"", ""hash_create"", ""strcmp"", ""7921"", ""hash_string"", ""=""]]]","[[[""const char *""], ""const char *""]]","[""\""FATAL: %s: %s\\n\""""]"
"fprintf ( stderr , ""FATAL: Cannot create hash table\n"" )",80:8:1985:2037,/data/download/squid/squid-3.5.25/helpers/basic_auth/NCSA/basic_ncsa_auth.cc,"[[""True"", [20222, ""True"", ""NULL == hash"", ""Condition""]]]","[["""", [20226, ""True"", ""hash = hash_create ( ( HASHCMP * ) strcmp , 7921 , hash_string )"", ""ExpressionStatement""]], ["""", [20243, ""True"", ""hashFreeMemory ( hash )"", ""ExpressionStatement""]], ["""", [20250, ""True"", ""hashFreeItems ( hash , my_free )"", ""ExpressionStatement""]], ["""", [20263, ""True"", ""char * passwd ;"", ""IdentifierDeclStatement""]]]","[[[""NULL"", ""hash"", ""==""]], [[""hash"", ""hash_create"", ""strcmp"", ""7921"", ""hash_string"", ""=""]], [[""hashFreeMemory"", ""hash""]], [[""hashFreeItems"", ""hash"", ""my_free""]], [[""char *""]]]",[],"[""\""FATAL: Cannot create hash table\\n\""""]"
"fprintf ( stderr , ""FATAL: cannot stat %s\n"" , argv [ 1 ] )",125:8:3313:3364,/data/download/squid/squid-3.5.25/helpers/basic_auth/NCSA/basic_ncsa_auth.cc,"[[""True"", [20758, ""True"", ""stat ( argv [ 1 ] , & sb ) != 0"", ""Condition""]]]","[["""", [20775, ""True"", ""exit ( 1 )"", ""ExpressionStatement""]], ["""", [20782, ""True"", ""fprintf ( stderr , \""Usage: ncsa_auth <passwordfile>\\n\"" )"", ""ExpressionStatement""]], ["""", [20795, ""True"", ""setbuf ( stdout , NULL )"", ""ExpressionStatement""]], ["""", [20804, ""True"", ""user_data * u ;"", ""IdentifierDeclStatement""]]]","[[[""stat"", ""char * *"", ""1"", ""&"", ""sb"", ""0"", ""!=""]], [[""exit"", ""1""]], [[""fprintf"", ""stderr"", ""\""Usage: ncsa_auth <passwordfile>\\n\""""]], [[""setbuf"", ""stdout"", ""NULL""]], [[""user_data *""]]]","[[[""char * *""], ""char * *""]]","[""\""FATAL: cannot stat %s\\n\"""", ""1""]"
"fprintf ( stderr , ""Usage: ncsa_auth <passwordfile>\n"" )",121:8:3193:3245,/data/download/squid/squid-3.5.25/helpers/basic_auth/NCSA/basic_ncsa_auth.cc,"[[""True"", [20791, ""True"", ""argc != 2"", ""Condition""]]]","[["""", [20795, ""True"", ""setbuf ( stdout , NULL )"", ""ExpressionStatement""]], ["""", [20804, ""True"", ""user_data * u ;"", ""IdentifierDeclStatement""]], ["""", [20808, ""True"", ""char * user , * passwd , * p ;"", ""IdentifierDeclStatement""]]]","[[[""int"", ""2"", ""!=""]], [[""setbuf"", ""stdout"", ""NULL""]], [[""user_data *""]], [[""user"", ""char *"", ""p""]]]",[],"[""\""Usage: ncsa_auth <passwordfile>\\n\""""]"
"fprintf ( stderr , ""Example basic_yp_auth mydomain.com passwd.byname\n"" )",49:8:1036:1105,/data/download/squid/squid-3.5.25/helpers/basic_auth/NIS/basic_nis_auth.cc,"[[""True"", [22190, ""True"", ""argc != 3"", ""Condition""]]]","[["""", [22172, ""True"", ""fprintf ( stderr , \""\\n\"" )"", ""ExpressionStatement""]], ["""", [22181, ""True"", ""fprintf ( stderr , \""Usage: basic_yp_auth <domainname> <nis map for password>\\n\"" )"", ""ExpressionStatement""]], ["""", [22194, ""True"", ""setbuf ( stdout , NULL )"", ""ExpressionStatement""]]]","[[[""int"", ""3"", ""!=""]], [[""fprintf"", ""stderr"", ""\""\\n\""""]], [[""fprintf"", ""stderr"", ""\""Usage: basic_yp_auth <domainname> <nis map for password>\\n\""""]], [[""setbuf"", ""stdout"", ""NULL""]]]",[],"[""\""Example basic_yp_auth mydomain.com passwd.byname\\n\""""]"
"fprintf ( stderr , ""\n"" )",48:8:1005:1026,/data/download/squid/squid-3.5.25/helpers/basic_auth/NIS/basic_nis_auth.cc,"[[""True"", [22190, ""True"", ""argc != 3"", ""Condition""]]]","[["""", [22181, ""True"", ""fprintf ( stderr , \""Usage: basic_yp_auth <domainname> <nis map for password>\\n\"" )"", ""ExpressionStatement""]], ["""", [22194, ""True"", ""setbuf ( stdout , NULL )"", ""ExpressionStatement""]], ["""", [22203, ""True"", ""char * nispasswd ;"", ""IdentifierDeclStatement""]]]","[[[""int"", ""3"", ""!=""]], [[""fprintf"", ""stderr"", ""\""Usage: basic_yp_auth <domainname> <nis map for password>\\n\""""]], [[""setbuf"", ""stdout"", ""NULL""]], [[""char *""]]]",[],"[""\""\\n\""""]"
"fprintf ( stderr , ""Usage: basic_yp_auth <domainname> <nis map for password>\n"" )",47:8:918:995,/data/download/squid/squid-3.5.25/helpers/basic_auth/NIS/basic_nis_auth.cc,"[[""True"", [22190, ""True"", ""argc != 3"", ""Condition""]]]","[["""", [22194, ""True"", ""setbuf ( stdout , NULL )"", ""ExpressionStatement""]], ["""", [22203, ""True"", ""char * nispasswd ;"", ""IdentifierDeclStatement""]], ["""", [22207, ""True"", ""char * user , * passwd , * p ;"", ""IdentifierDeclStatement""]]]","[[[""int"", ""3"", ""!=""]], [[""setbuf"", ""stdout"", ""NULL""]], [[""char *""]], [[""user"", ""char *"", ""p""]]]",[],"[""\""Usage: basic_yp_auth <domainname> <nis map for password>\\n\""""]"
"fprintf ( stderr , "" -r        Detect and remove Negotiate/NTLM realm from username\n"" )",157:4:5560:5644,/data/download/squid/squid-3.5.25/helpers/basic_auth/PAM/basic_pam_auth.cc,[],"[["""", [22446, ""True"", ""fprintf ( stderr , \"" -1        Only one user authentication per PAM connection\\n\"" )"", ""ExpressionStatement""]], ["""", [22455, ""True"", ""fprintf ( stderr , \"" -o        Do not perform account mgmt (account expiration etc)\\n\"" )"", ""ExpressionStatement""]], ["""", [22464, ""True"", ""fprintf ( stderr , \""           to authenticate all users\\n\"" )"", ""ExpressionStatement""]], ["""", [22473, ""True"", ""fprintf ( stderr , \""           during this time the same connection will be reused\\n\"" )"", ""ExpressionStatement""]]]","[[[""fprintf"", ""stderr"", ""\"" -1        Only one user authentication per PAM connection\\n\""""]], [[""fprintf"", ""stderr"", ""\"" -o        Do not perform account mgmt (account expiration etc)\\n\""""]], [[""fprintf"", ""stderr"", ""\""           to authenticate all users\\n\""""]], [[""fprintf"", ""stderr"", ""\""           during this time the same connection will be reused\\n\""""]]]",[],"[""\"" -r        Detect and remove Negotiate/NTLM realm from username\\n\""""]"
"fprintf ( stderr , "" -1        Only one user authentication per PAM connection\n"" )",156:4:5475:5554,/data/download/squid/squid-3.5.25/helpers/basic_auth/PAM/basic_pam_auth.cc,[],"[["""", [22455, ""True"", ""fprintf ( stderr , \"" -o        Do not perform account mgmt (account expiration etc)\\n\"" )"", ""ExpressionStatement""]], ["""", [22464, ""True"", ""fprintf ( stderr , \""           to authenticate all users\\n\"" )"", ""ExpressionStatement""]], ["""", [22473, ""True"", ""fprintf ( stderr , \""           during this time the same connection will be reused\\n\"" )"", ""ExpressionStatement""]], ["""", [22482, ""True"", ""fprintf ( stderr , \"" -t ttl    PAM connection ttl in seconds (default %d)\\n\"" , DEFAULT_SQUID_PAM_TTL )"", ""ExpressionStatement""]]]","[[[""fprintf"", ""stderr"", ""\"" -o        Do not perform account mgmt (account expiration etc)\\n\""""]], [[""fprintf"", ""stderr"", ""\""           to authenticate all users\\n\""""]], [[""fprintf"", ""stderr"", ""\""           during this time the same connection will be reused\\n\""""]], [[""fprintf"", ""stderr"", ""\"" -t ttl    PAM connection ttl in seconds (default %d)\\n\"""", ""DEFAULT_SQUID_PAM_TTL""]]]",[],"[""\"" -1        Only one user authentication per PAM connection\\n\""""]"
